Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"C1"	"0603B103K500NT"	"C0603"	"127.312mm"	"68.793mm"	"127.312mm"	"68.793mm"	"127.312mm"	"68.093mm"	"2"	"T"	"90"	"Yes"	"10nF"	"10nF"
"C3"	"1206B475K500NT"	"C1206"	"136.853mm"	"67.25mm"	"136.853mm"	"67.25mm"	"136.853mm"	"65.657mm"	"2"	"T"	"90"	"Yes"	"4.7uF"	"4.7uF"
"C4"	"1206B475K500NT"	"C1206"	"139.207mm"	"67.25mm"	"139.207mm"	"67.25mm"	"139.207mm"	"65.657mm"	"2"	"T"	"90"	"Yes"	"4.7uF"	"4.7uF"
"C5"	"CL21A226MAQNNNE"	"C0805"	"130.144mm"	"59.055mm"	"130.144mm"	"59.055mm"	"131.144mm"	"59.055mm"	"2"	"T"	"180"	"Yes"	"22uF"	"22uF"
"C6"	"CL21A226MAQNNNE"	"C0805"	"130.144mm"	"57.244mm"	"130.144mm"	"57.244mm"	"131.144mm"	"57.244mm"	"2"	"T"	"180"	"Yes"	"22uF"	"22uF"
"C7"	"KM1E101M0611"	"CAP-TH_BD6.0-P2.50-D0.5-FD"	"118mm"	"57.325mm"	"118mm"	"57.325mm"	"119.25mm"	"57.325mm"	"2"	"T"	"180"	"No"	"100uF"	"100uF"
"C8"	"CL21B104KCFNNNE"	"C0805"	"130.15mm"	"55.425mm"	"130.15mm"	"55.425mm"	"129.15mm"	"55.425mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C9"	"CL10B102KB8NNNC"	"C0603"	"129.243mm"	"61.578mm"	"129.243mm"	"61.578mm"	"129.243mm"	"62.278mm"	"2"	"T"	"270"	"Yes"	"1nF"	"1nF"
"C10"	"GRM21BR61H106KE43L"	"C0805"	"130.175mm"	"51.075mm"	"130.175mm"	"51.075mm"	"131.175mm"	"51.075mm"	"2"	"T"	"180"	"Yes"	"10uF"	"10uF"
"C11"	"CL21B104KCFNNNE"	"C0805"	"130.188mm"	"49.265mm"	"130.188mm"	"49.265mm"	"129.188mm"	"49.265mm"	"2"	"T"	"0"	"Yes"	"100nF"	"100nF"
"C12"	"TAJA106K016RNJ"	"CAP-SMD_L3.2-W1.6-RD-C7171"	"114.472mm"	"49.678mm"	"114.472mm"	"49.678mm"	"116.002mm"	"49.678mm"	"2"	"T"	"180"	"Yes"	"10uF"	"10uF"
"C13"	"TAJA106K016RNJ"	"CAP-SMD_L3.2-W1.6-RD-C7171"	"114.475mm"	"45.775mm"	"114.475mm"	"45.775mm"	"116.005mm"	"45.775mm"	"2"	"T"	"180"	"Yes"	"10uF"	"10uF"
"C14"	"CL21B104KCFNNNE"	"C0805"	"114.75mm"	"47.725mm"	"114.75mm"	"47.725mm"	"115.75mm"	"47.725mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C15"	"GRM21BR61H106KE43L"	"C0805"	"142.55mm"	"77.95mm"	"142.55mm"	"77.95mm"	"142.55mm"	"78.95mm"	"2"	"T"	"270"	"Yes"	"10uF"	"10uF"
"C16"	"CL21B104KCFNNNE"	"C0805"	"140.525mm"	"77.95mm"	"140.525mm"	"77.95mm"	"140.525mm"	"76.95mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C17"	"GRM21BR61H106KE43L"	"C0805"	"134.25mm"	"96.151mm"	"134.25mm"	"96.151mm"	"133.25mm"	"96.151mm"	"2"	"T"	"0"	"Yes"	"10uF"	"10uF"
"C18"	"CL21B104KCFNNNE"	"C0805"	"134.238mm"	"97.96mm"	"134.238mm"	"97.96mm"	"135.238mm"	"97.96mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C19"	"CC0603KRX7R9BB104"	"C0603"	"54.767mm"	"42.77mm"	"54.767mm"	"42.77mm"	"54.767mm"	"42.07mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
