PCB8_CNC_Controller_RP2350_v1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created:11/05/26 05:52:16,,,,BOM Export Date: 11/05/26 05:56:59,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$2205.41
",,,,Website:https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C2873969,ROQANG(??),KM1E101M0611,,CAP-TH_BD6.0-P2.50-D0.5-FD,,-,1,,,KM1E101M0611,ROQANG,50,0.0192,0.96,C2873969,Through Hole,50,50,1000,13500,In Stock,,100uF 25V Aluminum Electrolytic Capacitors Through Hole 2000hrs@105?,Exact Matches,https://www.lcsc.com/product-detail/C2873969.html
C28233,SAMSUNG(??),CL21B104KCFNNNE,,C0805,,-,5,,,CL21B104KCFNNNE,Samsung Electro-Mechanics,50,0.0108,0.54,C28233,0805,50,50,2000,884350,In Stock,,100nF ±10% 100V Ceramic Capacitor X7R 0805,Exact Matches,https://www.lcsc.com/product-detail/C28233.html
C440198,muRata(??),GRM21BR61H106KE43L,,C0805,,-,3,,,GRM21BR61H106KE43L,muRata,10,0.0687,0.69,C440198,0805,10,10,3000,813330,In Stock,,10uF ±10% 50V Ceramic Capacitor X5R 0805,Exact Matches,https://www.lcsc.com/product-detail/C440198.html
C7171,Kyocera AVX,TAJA106K016RNJ,,CAP-SMD_L3.2-W1.6-RD-C7171,,-,5,,,TAJA106K016RNJ,Kyocera AVX,6,0.1292,0.78,C7171,CASE-A-3216-18(mm),2,2,2000,499488,In Stock,,10uF ±10% 16V Tantalum Capacitors 3?@100kHz CASE-A-3216-18(mm),Exact Matches,https://www.lcsc.com/product-detail/C7171.html
C2976624,Dersonic(???),CC3D102KC2IEB46U31MF,,CAP-TH_L6.8-W2.6-P5.08-D0.6-S2.1,,-,1,,,CC3D102KC2IEB46U31MF,Dersonic,20,0.0338,0.68,C2976624,"Through Hole,P=5.08mm",20,20,1000,2180,In Stock,,1nF ±10% 2kV Ceramic Capacitor Through Hole P=5.08mm,Exact Matches,https://www.lcsc.com/product-detail/C2976624.html
C393941,SHOU HAN(??),TF PUSH,,TF-SMD_TF-PUSH,,-,1,,,TF PUSH,SHOU HAN,10,0.0655,0.66,C393941,SMD,10,10,1000,176060,In Stock,,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,Exact Matches,https://www.lcsc.com/product-detail/C393941.html
C22452,MDD(?????),SS54,,SMA_L4.4-W2.8-LS5.4-R-RD,,-,1,,,SS54,MDD(Microdiode Semiconductor),10,0.0364,0.36,C22452,SMA(DO-214AC),10,10,5000,407960,In Stock,,Diode Independent 40V 5A Surface Mount SMA(DO-214AC),Exact Matches,https://www.lcsc.com/product-detail/C22452.html
C8678,MDD(?????),SS34,,SMA_L4.3-W2.6-LS5.2-RD,,-,2,,,SS34,MDD(Microdiode Semiconductor),20,0.0295,0.59,C8678,SMA(DO-214AC),20,20,5000,0,Backordered,,Diode Independent 40V 3A Surface Mount SMA(DO-214AC),Exact Matches,https://www.lcsc.com/product-detail/C8678.html
C32677,PROTEK,PSM712-LF-T7,,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,-,3,,,PSM712-LF-T7,PROTEK,5,0.3355,1.68,C32677,SOT-23,5,5,3000,136975,In Stock,,19VC Clamp 34A@8/20us 30A@8/20us Ipp TVS DIODE SOT-23,Exact Matches,https://www.lcsc.com/product-detail/C32677.html
C2691448,XFCN(??),PZ254V-11-04P,,HDR-TH_4P-P2.54-V-M,,-,1,,,PZ254V-11-04P,XFCN,20,0.0256,0.51,C2691448,"Through Hole,P=2.54mm",20,20,1000,692860,In Stock,,Pin Header 4 Position 2.54mm Pitch Single Row Through Hole -40?~+105?,Exact Matches,https://www.lcsc.com/product-detail/C2691448.html
C6364679,SHOU HAN(??),CYA1040-22UH,,IND-SMD_L11.6-W10.1,,-,1,,,CYA1040-22UH,SHOU HAN,5,0.3492,1.75,C6364679,"SMD,11.6x10.1mm",5,5,1000,2265,In Stock,,"5A 22uH ±20% 5.5A 60m? SMD,11.6x10.1mm Fixed Inductors RoHS",Exact Matches,https://www.lcsc.com/product-detail/C6364679.html
C14709,muRata(??),BLM18PG121SN1D,,L0603,,-,1,,,BLM18PG121SN1D,muRata,50,0.0134,0.67,C14709,0603,50,50,4000,3649400,In Stock,,120?@100MHz 1 Line Ferrite Bead 0603 2A 50m?,Exact Matches,https://www.lcsc.com/product-detail/C14709.html
C42411119,ABRACON,AOTA-B201610S3R3-101-T,,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,,-,1,,,AOTA-B201610S3R3-101-T,ABRACON,5,0.2860,1.43,C42411119,0806,5,5,3000,11360,In Stock,,2.1A 3.3uH 115m? 2.4A Molded Inductor 0806 Fixed Inductors RoHS,Exact Matches,https://www.lcsc.com/product-detail/C42411119.html
C2297,KENTO,KT-0805G,,LED0805-R-RD,,-,5,,,KT-0805G,Hubei KENTO Elec,50,0.0163,0.82,C2297,0805,50,50,3000,752050,In Stock,,Emerald Green 525nm LED Indication - Discrete 2.6V~3.1V 0805,Exact Matches,https://www.lcsc.com/product-detail/C2297.html
C23186,UNI-ROYAL(??),0603WAF5101T5E,,R0603,,-,2,,,0603WAF5101T5E,UNI-ROYAL,100,0.0016,0.16,C23186,0603,100,100,5000,4456900,In Stock,,5.1k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23186.html
C23212,UNI-ROYAL(??),0603WAF6801T5E,,R0603,,-,1,,,0603WAF6801T5E,UNI-ROYAL,100,0.0017,0.17,C23212,0603,100,100,5000,393100,In Stock,,6.8k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23212.html
C22843,UNI-ROYAL(??),0603WAF1501T5E,,R0603,,-,1,,,0603WAF1501T5E,UNI-ROYAL,100,0.0017,0.17,C22843,0603,100,100,5000,0,Backordered,,1.5k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C22843.html
C25804,UNI-ROYAL(??),0603WAF1002T5E,,R0603,,-,31,,,0603WAF1002T5E,UNI-ROYAL,100,0.0031,0.31,C25804,0603,100,100,5000,0,Backordered,,10k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C25804.html
C22975,UNI-ROYAL(??),0603WAF2001T5E,,R0603,,-,1,,,0603WAF2001T5E,UNI-ROYAL,100,0.0017,0.17,C22975,0603,100,100,5000,0,Backordered,,2k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C22975.html
C21190,UNI-ROYAL(??),0603WAF1001T5E,,R0603,,-,4,,,0603WAF1001T5E,UNI-ROYAL,100,0.0016,0.16,C21190,0603,100,100,5000,0,Backordered,,1k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C21190.html
C17936,UNI-ROYAL(??),1206W4F4701T5E,,R1206,,-,2,,,1206W4F4701T5E,UNI-ROYAL,100,0.0045,0.45,C17936,1206,100,100,5000,0,Backordered,,4.7k? ±1% 250mW 1206 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C17936.html
C23140,UNI-ROYAL(??),0603WAF330JT5E,,R0603,,-,19,,,0603WAF330JT5E,UNI-ROYAL,100,0.0017,0.17,C23140,0603,100,100,5000,0,Backordered,,33? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23140.html
C22859,UNI-ROYAL(??),0603WAF100JT5E,,R0603,,-,1,,,0603WAF100JT5E,UNI-ROYAL,20,0.0019,0.04,C22859,0603,20,20,5000,514580,In Stock,,10? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C22859.html
C23162,UNI-ROYAL(??),0603WAF4701T5E,,R0603,,-,3,,,0603WAF4701T5E,UNI-ROYAL,100,0.0014,0.14,C23162,0603,100,100,5000,0,Backordered,,4.7k? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23162.html
C23185,UNI-ROYAL(??),0603WAF499JT5E,,R0603,,-,4,,,0603WAF499JT5E,UNI-ROYAL,100,0.0017,0.17,C23185,0603,100,100,5000,1062800,In Stock,,49.9? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23185.html
C23164,UNI-ROYAL(??),0603WAF470KT5E,,R0603,,-,4,,,0603WAF470KT5E,UNI-ROYAL,100,0.0023,0.23,C23164,0603,100,100,5000,0,Backordered,,4.7? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23164.html
C22935,UNI-ROYAL(??),0603WAF1004T5E,,R0603,,-,1,,,0603WAF1004T5E,UNI-ROYAL,100,0.0015,0.15,C22935,0603,100,100,5000,0,Backordered,,1M? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C22935.html
C21189,UNI-ROYAL(??),0603WAF0000T5E,,R0603,,-,1,,,0603WAF0000T5E,UNI-ROYAL,100,0.0015,0.15,C21189,0603,100,100,5000,678200,In Stock,,0? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C21189.html
C137798,YAGEO(??),RC0603FR-0712K4L,,R0603,,-,1,,,RC0603FR-0712K4L,YAGEO,100,0.0015,0.15,C137798,0603,100,100,5000,57000,In Stock,,100mW 12.4k? 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C137798.html
C23138,UNI-ROYAL(??),0603WAF3300T5E,,R0603,,-,20,,,0603WAF3300T5E,UNI-ROYAL,100,0.0016,0.16,C23138,0603,100,100,5000,0,Backordered,,330? ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C23138.html
C17927,UNI-ROYAL(??),1206W4F1004T5E,,R1206,,-,1,,,1206W4F1004T5E,UNI-ROYAL,100,0.0044,0.44,C17927,1206,100,100,5000,30500,In Stock,,1M? ±1% 250mW 1206 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C17927.html
